epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67874,1.44134,3.40068,1.49489,0.00082,0.41667,0.00302,0.00109,2.52589,3.81074,2.49607,0.0919,0.0009,0.0009
2,8.42096,1.86122,2.75616,1.84117,0.02052,0.58333,0.1145,0.03878,2.15705,3.96315,3.09487,0.0828812,0.00188119,0.00188119
3,11.4121,1.97998,2.51606,1.92975,0.09367,0.42708,0.1118,0.04675,2.52595,191.146,7.10437,0.0738426,0.00284258,0.00284258
4,15.2901,1.99155,2.43263,1.98547,0.01041,0.60417,0.01156,0.00391,2.93625,inf,34.0168,0.0647842,0.00378417,0.00378417
5,19.319,2.08526,2.44954,2.11444,0,0,0,0,3.33547,inf,36.447,0.055706,0.00470596,0.00470596
6,22.4689,2.01145,2.30047,2.03925,0.00016,0.0625,0.00012,2e-05,4.59664,inf,134.655,0.046608,0.00560795,0.00560795
7,27.3871,1.95936,2.26332,1.95588,8e-05,0.03125,0.00011,2e-05,3.38718,inf,85.9405,0.0374901,0.00649014,0.00649014
8,30.9416,1.87249,2.03583,1.92579,0.00045,0.125,0.0003,0.00014,3.709,inf,21.6168,0.0283525,0.00735253,0.00735253
9,33.7715,1.86322,2.08613,1.90519,0.00015,0.0625,9e-05,2e-05,4.53298,inf,36.004,0.0191951,0.00819512,0.00819512
10,36.3153,1.7913,1.9238,1.78985,0.00151,0.20833,0.00334,0.00089,4.40906,inf,27.5472,0.0100179,0.00901791,0.00901791
11,40.019,1.7975,1.97497,1.80062,0.00228,0.21875,0.00237,0.00054,4.27238,inf,20.9328,0.00901,0.00901,0.00901
12,42.8008,1.74813,1.85938,1.73479,0.01398,0.51042,0.01206,0.00277,3.55041,inf,32.736,0.008911,0.008911,0.008911
13,45.4177,1.73822,1.79784,1.75594,0.00642,0.46875,0.01442,0.00365,2.8088,inf,11.2984,0.008812,0.008812,0.008812
14,48.055,1.76193,1.72756,1.80877,0.0074,0.39583,0.00921,0.00362,2.54412,inf,8.22798,0.008713,0.008713,0.008713
15,51.4229,1.80396,1.81327,1.84482,0.58333,0.125,0.07272,0.02491,2.45383,108.317,3.36651,0.008614,0.008614,0.008614
16,55.16,1.88264,1.92834,1.86092,0.00052,0.10417,0.00029,0.0001,3.32656,125.466,5.00066,0.008515,0.008515,0.008515
17,58.3702,1.82893,1.80425,1.82874,0.01093,0.09375,0.00704,0.00346,3.40456,182.393,5.46399,0.008416,0.008416,0.008416
18,61.0354,1.61898,1.71054,1.69545,0.17053,0.38542,0.30262,0.17103,2.21783,15.3068,2.96257,0.008317,0.008317,0.008317
19,64.377,1.75528,1.86408,1.75092,0.2481,0.55208,0.3444,0.17776,2.47186,15.0426,3.42525,0.008218,0.008218,0.008218
20,67.6131,1.65987,1.74192,1.71606,0.38275,0.36458,0.41686,0.23202,1.89292,8.43831,2.42809,0.008119,0.008119,0.008119
21,70.2352,1.67804,1.73992,1.70517,0.56019,0.58077,0.64974,0.36067,1.77184,7.91574,2.24585,0.00802,0.00802,0.00802
22,72.9039,1.61387,1.61819,1.67561,0.44547,0.67708,0.56483,0.30552,1.70279,11.0448,2.11269,0.007921,0.007921,0.007921
23,76.0333,1.62494,1.58824,1.65803,0.7331,0.42708,0.57695,0.3538,1.48812,3.73158,1.8917,0.007822,0.007822,0.007822
24,79.3754,1.5502,1.48347,1.62069,0.71664,0.35417,0.38211,0.21332,2.28686,8.48787,2.59243,0.007723,0.007723,0.007723
25,82.0079,1.61735,1.56378,1.65486,0.75036,0.34375,0.36792,0.25054,1.83135,15.8222,2.22508,0.007624,0.007624,0.007624
26,84.6869,1.6101,1.57585,1.68334,0.88709,0.375,0.56404,0.33453,1.83942,3.99137,2.03106,0.007525,0.007525,0.007525
27,87.3652,1.59863,1.54211,1.61398,0.58537,0.67146,0.73767,0.42015,1.66397,2.71292,1.90166,0.007426,0.007426,0.007426
28,91.0429,1.65312,1.55502,1.70522,0.71954,0.70833,0.80425,0.49088,1.47948,1.92402,1.69957,0.007327,0.007327,0.007327
29,93.8442,1.47904,1.38883,1.52983,0.81584,0.66579,0.76913,0.4682,1.45058,1.82177,1.66627,0.007228,0.007228,0.007228
30,96.3612,1.55706,1.42419,1.62187,0.63351,0.80208,0.69154,0.39357,1.53967,1.70138,1.83587,0.007129,0.007129,0.007129
31,99.1877,1.64575,1.41065,1.62334,0.46052,0.5,0.55536,0.33476,1.71094,1.89086,2.04108,0.00703,0.00703,0.00703
32,102.488,1.50793,1.44805,1.5984,0.70099,0.83333,0.82645,0.4726,1.58142,2.91605,1.84779,0.006931,0.006931,0.006931
33,105.606,1.5388,1.517,1.60878,0.77067,0.83184,0.92801,0.54105,1.42254,2.29917,1.6727,0.006832,0.006832,0.006832
34,108.337,1.38928,1.27661,1.49517,0.75891,0.74845,0.86487,0.50178,1.49789,2.57527,1.7402,0.006733,0.006733,0.006733
35,110.961,1.4594,1.28809,1.53776,0.7685,0.80208,0.84538,0.52503,1.29188,1.49257,1.53594,0.006634,0.006634,0.006634
36,113.735,1.52531,1.45519,1.5864,0.70357,0.79167,0.8092,0.48969,1.40177,1.55418,1.58864,0.006535,0.006535,0.006535
37,117.376,1.49358,1.32608,1.56487,0.80917,0.875,0.88158,0.544,1.33113,1.80008,1.53656,0.006436,0.006436,0.006436
38,120.157,1.47163,1.3657,1.50713,0.76549,0.75931,0.78129,0.51249,1.37715,1.47928,1.58739,0.006337,0.006337,0.006337
39,122.811,1.50505,1.31971,1.58413,0.80126,0.85417,0.85255,0.52009,1.32588,1.4436,1.57259,0.006238,0.006238,0.006238
